name,symbol,current_price,price_change_24h,change_symbol,market_cap,ath,id,image,date,last_updated,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,price_change_percentage_24h_in_currency
Hyperliquid,hype,38.16,0.64449,UP,12713593663,49.75,hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,03-08-2025,2025-08-03T14:09:04.660Z,14,38097280119,322649881.0,39.17,35.79,0.64449,26147173.0,0.20609,333601832.0,999664043.0,1000000000.0,-23.17012,2025-07-14T05:06:23.602Z,3.81,903.61504,2024-11-29T09:30:30.871Z,,0.6444923303193928
Stellar,xlm,0.389926,3.21198,UP,12171786236,0.875563,stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,03-08-2025,2025-08-03T14:09:06.951Z,15,19482331230,357794107.0,0.390244,0.363548,3.21198,335138061.0,2.83136,31239129151.4134,50001786892.81653,50001786892.81653,-55.52352,2018-01-03T00:00:00.000Z,0.00047612,81689.64532,2015-03-05T00:00:00.000Z,,3.2119796834922525
Sui,sui,3.44,0.09334,UP,12066116009,5.35,sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,03-08-2025,2025-08-03T14:09:07.043Z,16,34357561157,1322134876.0,3.48,3.29,0.09334,32206601.0,0.26763,3511924479.569998,10000000000.0,10000000000.0,-35.74822,2025-01-04T22:56:18.063Z,0.364846,841.56484,2023-10-19T10:40:30.078Z,,0.0933437584790988
Wrapped Beacon ETH,wbeth,3754.44,-0.43871,DOWN,11128586026,4317.06,wrapped-beacon-eth,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,03-08-2025,2025-08-03T14:09:07.842Z,17,11128586026,13073912.0,3770.99,3622.73,-0.43871,-61333470.677295685,-0.54811,2964109.670237127,2964109.670237127,,-12.97153,2024-12-16T18:47:35.876Z,1501.6,150.20434,2025-04-09T03:57:40.245Z,,-0.43871262351622886
Chainlink,link,16.19,1.2805,UP,10973521335,52.7,chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,03-08-2025,2025-08-03T14:09:02.088Z,18,16182748581,432091256.0,16.21,15.48,1.2805,85455567.0,0.78486,678099970.4527868,1000000000.0,1000000000.0,-69.30238,2021-05-10T00:13:57.214Z,0.148183,10816.62453,2017-11-29T00:00:00.000Z,,1.2804967810531633
Bitcoin Cash,bch,542.21,0.57662,UP,10787019527,3785.82,bitcoin-cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,03-08-2025,2025-08-03T14:09:01.768Z,19,10787019527,231535895.0,542.44,517.17,0.57662,60455982.0,0.56361,19906249.89665078,19906249.89665078,21000000.0,-85.69979,2017-12-20T00:00:00.000Z,76.93,603.68689,2018-12-16T00:00:00.000Z,,0.576620373492508
Hedera,hbar,0.242461,2.94394,UP,10269513044,0.569229,hedera-hashgraph,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,03-08-2025,2025-08-03T14:09:05.030Z,20,12112367081,452912004.0,0.24702,0.226416,2.94394,245593877.0,2.45008,42392675915.68095,50000000000.0,50000000000.0,-57.43767,2021-09-15T10:40:28.318Z,0.00986111,2356.89451,2020-01-02T17:30:24.852Z,,2.9439362437798144
Wrapped eETH,weeth,3739.64,-0.6222,DOWN,9787872588,4311.81,wrapped-eeth,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,03-08-2025,2025-08-03T14:09:08.103Z,21,9787872588,16207812.0,3763.06,3609.31,-0.6222,-81013312.04719162,-0.8209,2614722.913805695,2614717.702470818,,-13.10028,2024-12-06T20:32:25.758Z,1505.24,148.92795,2025-04-09T03:45:31.391Z,,-0.6221963089408291
Ethena USDe,usde,1.001,0.01926,UP,9160853165,1.032,ethena-usde,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,03-08-2025,2025-08-03T14:09:02.503Z,22,9160853165,1023546577.0,1.002,0.99882,0.01926,484572576.0,5.58503,9153449520.427582,9166765815.117582,,-3.02631,2023-12-20T15:38:34.596Z,0.929486,7.67759,2024-10-04T07:57:15.809Z,,0.01925734774901646
Avalanche,avax,21.38,-1.03915,DOWN,9025311407,144.96,avalanche-2,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,03-08-2025,2025-08-03T14:09:05.893Z,23,9773423593,370066236.0,21.6,20.68,-1.03915,-101167194.61791801,-1.1085,422276596.0335201,457279296.0335201,720000000.0,-85.25865,2021-11-21T14:18:56.538Z,2.8,662.89707,2020-12-31T13:15:21.540Z,,-1.0391527660772033
